"name";"lat";"lon";"TELEPHONE";"Address";"Website"
"Pharmacie Schon";"49.4796841";"6.0852501";"";"";""
"Käerjenger Apdikt";"49.5670574";"5.9105019";"";"";""
"Pharmacie de Pétange";"49.5556737";"5.8771289";"";"";""
"Pharmacie Schmitz";"49.4821087";"6.0841764";"";"";""
"Pharmacie de Niederkorn";"49.53585";"5.89106";"";"";""
"Pharmacie Gravity";"49.5226237";"5.8935458";"";"";""
"Pharmacie de Soleuvre";"49.5233589";"5.9321016";"";"";""
"Pharmacie de Vianden";"49.9330504";"6.2146773";"";"";""
"Pharmacie um Bechel";"49.5159968";"6.1034926";"";"";""
"Pharmacie du Trèfle";"49.5185657";"6.0986339";"";"";""
"Pharmacie du Lion";"49.8127498";"6.4207869";"";"";""
"Pharmacie du Bridel";"49.6595603";"6.0784234";"";"";""
"Pharmacie du Cerf";"49.7500004";"6.1067602";"00352320007";"Centre Marisca, 7560 Miersch";"https://www.pharmacie-du-cerf.lu/"
"Pharmacie de Bertrange";"49.6109238";"6.0518519";"";"";""
"Pharmacie Petry";"49.8458744";"6.0982303";"";"";""
"Pharmacie Ginkgo";"49.6130918";"6.1160027";"";"";""
"Pharmacie Thilges";"49.8467507";"6.0991297";"";"";""
"Pharmacie de Walferdange";"49.6591269";"6.1314917";"";"";""
"Pharmacie de Lallange";"49.5067296";"5.989026";"";"";""
"Pharmacie du Cèdre";"49.6416625";"6.130055";"";"";""
"Pharmacie du Centre";"49.6287979";"6.0213643";"";"";""
"Pharmacie du Cents";"49.6194014";"6.1717257";"";"";""
"Pharmacie du Kirchberg";"49.6318794";"6.1744745";"";"";""
"Pharmacie de Bonnevoie";"49.597468";"6.1382233";"";"";""
"Pharmacie Place de Strasbourg";"49.6006216";"6.1277604";"";"";""
"Pharmacie Tilia Bonnevoie";"49.5942487";"6.1405199";"";"";""
"Pharmacie de Clervaux";"50.051778";"6.0722405";"";"";""
"Pharmacie de Niederanven";"49.6573753";"6.2493108";"";"";""
"Pharmacie Welschbillig";"49.4951515";"5.983722";"";"";""
"Pharmacie de Steinsel";"49.6780255";"6.1291228";"";"";""
"Pharmacie de l'Éléphant";"49.5859448";"6.1433564";"";"";""
"Pharmacie du Réiserbann";"49.5433088";"6.1376858";"";"";""
"Pharmacie de Kehlen";"49.6706521";"6.0353936";"";"";""
"Pharmacie de Beaufort";"49.8393223";"6.2896735";"";"";""
"Pharmacie du Benelux";"49.5026608";"5.9709726";"";"";""
"Pharmacie de Mondercange";"49.532613";"5.9884922";"";"";""
"Pharmacie de Lamadelaine";"49.5467586";"5.8563853";"";"";""
"Pharmacie du Parc";"49.5244136";"5.8894558";"";"";""
"Pharmacie de Larochette";"49.7845275";"6.2202736";"";"";""
"Pharmacie des Thermes";"49.5036628";"6.2778014";"";"";""
"Pharmacie de Wasserbillig";"49.71482";"6.50133";"";"";""
"Pharmacie de Rumelange";"49.4606535";"6.0302965";"";"";""
"Pharmacie de Mondorf";"49.5043782";"6.2779744";"";"";""
"Pharmacie de Sandweiler";"49.6151406";"6.2229385";"";"";""
"Pharmacie Syrdall";"49.6212056";"6.2661493";"";"";""
"Pharmacie de Grevenmacher";"49.6789892";"6.4434018";"";"";""
"Pharmacie de l'Aigle";"49.9650919";"5.9354926";"";"";""
"Pharmacie Grotenrath";"49.9654681";"5.9355567";"";"";""
"Pharmacie de Colmar-Berg";"49.8081121";"6.0939138";"";"";""
"Pharmacie Maitry";"49.4929276";"5.9781968";"";"";""
"Pharmacie Stumper";"49.6117368";"6.129586";"";"";""
"Pharmacie du Cygne";"49.6128625";"6.1279711";"";"";""
"Pharmacie du Globe";"49.6008836";"6.1330491";"";"";""
"Pharmacie Merl Place de France";"49.606541";"6.1072538";"";"";""
"Pharmacie Goedert";"49.6120752";"6.1303856";"";"";""
"Pharmacie St. Laurent";"49.8683627";"6.1600972";"";"";""
"Pharmacie Mergen Rommes";"49.8693832";"6.1595273";"";"";""
"Pharmacie Nordstad";"49.8512421";"6.1273008";"";"";""
"Pharmacie de la Moselle";"49.7067036";"6.486621";"";"";""
"Schëfflenger Apdikt";"49.505117";"6.0093251";"";"";""
"Pharmacie de Frisange";"49.5166369";"6.1879417";"";"";""
"Pharmacie du Nord";"49.4970682";"5.9787693";"";"";""
"Pharmacie Trierweiler";"49.494104";"5.9845865";"";"";""
"Pharmacie de Grosbous";"49.8245056";"5.9633529";"";"";""
"Pharmacie de Belvaux";"49.5108226";"5.9369622";"";"";""
"Pharmacie de Belair";"49.6094336";"6.1182329";"";"";""
"Pharmacie Arboria";"49.5204043";"5.8925117";"";"";""
"Parapharmacie";"49.520768";"6.009103";"";"";""
"Pharmacie de Steinfort";"49.659009";"5.9112626";"";"";""
"Pharmacie Hübscher";"49.6292475";"6.1193821";"";"";""
"Pharmacie de Kayl";"49.4800679";"6.0397322";"";"";""
"Pharmacie de la Liberté";"49.6028543";"6.1314611";"";"";""
"Pharmacie de Junglinster";"49.7087794";"6.2541271";"";"";""
"Pharmacie des Vignerons";"49.5482316";"6.3589991";"";"";""
"Pharmacie de Rambrouch";"49.8298397";"5.8489106";"";"";""
"Pharmacie Fleur de Vie";"49.5101902";"5.9569373";"";"";""
"Pharmacie de la Cloche d'Or";"49.5846537";"6.1238721";"";"";""
"Pharmacie de Wincrange";"50.058562";"5.9211346";"";"";""
"Pharmacie de Wormeldange";"49.6058724";"6.4022505";"";"";""
"Pharmacie des Terres Rouges";"49.4939006";"5.9832545";"";"";""
"Pharmacie de Belval";"49.5020263";"5.941018";"";"";""
"Pharmacie Thiry";"49.8049665";"6.4045204";"";"";""
"Pharmacie Um Piquet";"49.6114539";"6.1269978";"";"";""
"Pharmacie Lugen";"49.6036129";"6.1329842";"";"";""
"Hesper Apdikt";"49.5705887";"6.1620472";"";"";""
"Pharmacie Neiens";"49.5503932";"5.8403479";"";"";""
"Pharmacie du Kiem";"49.6349253";"6.1601134";"";"";""
"Pharmacie de Limpertsberg";"49.618485";"6.1250072";"";"";""
"Pharmacie du Château";"49.5221645";"5.8883616";"";"";""
"Medi-Market";"49.6014422";"6.0649695";"";"";""
"Pharmacie des 3 Cantons";"49.5824274";"5.9604574";"";"";""
"Pharmacie de Capellen";"49.6436509";"5.9910939";"";"";""
"Pharmacie de Strassen";"49.6192295";"6.0707666";"";"";""
"Pharmacie Gillain";"49.4793076";"6.0854993";"";"";""
"Pharmacie du Soleil";"49.5082716";"6.0184267";"";"";""
"Pharmacie de Troisvierges";"50.1211473";"6.0010597";"";"";""
"Pharmacie de Gasperich";"49.5914466";"6.1253451";"";"";""
"Pharmacie de Hosingen";"50.0062656";"6.083753";"";"";""
"Pharmacie de Redange";"49.7643997";"5.8893698";"";"";""
"Pharmacie Fousbann";"49.5198471";"5.8988901";"";"";""
"Pharmacie Centrale";"49.746918";"6.1039193";"00352320166";"18 Pl. St Michel, 7556 Mersch";"http://www.pharmaludovicy.lu/"
